"Cluster	Record	Isolate.ID	Id.Match	Frog.ID	proportion growth 1	anti-Bd Class (80%)	Taxnonomy	DirTax_Phylum	DirTax_Class	DirTax_Order	DirTax_Family	DirTax_Genus	DirTax_Species	TotalIso	Inhibitory	NonInhibitory	InhibitoryRatio"
"518	H	Mada.1723	Mada.350	Heterixalus punctatus	0.11866363	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.1736	Mada.350	Boophis  pyrrhus	0.178931279	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.1767	Mada.350	Boophis  TASYMENA	0.232648096	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.1830	Mada.350	Aglyptodactylus madagascariensis	0.184329639	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.3440	Mada.350	Boophis  pyrrhus	0.994357743	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.364	Mada.350	Gephryomantis silvanus	0.176978287	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.365	Mada.350	Gephryomantis silvanus	0.094848733	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.3794	Mada.350	Mantidactylus  lugubris	0.020893372	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.3800	Mada.350	Mantella crocea	0.035302594	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
"518	H	Mada.3432	Mada.350	Mantidactylus  majori	0.062665066	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		9	4	9 . 4"
